Strata;Plot;Individuals;Specie;Height;Diameter
1;2;1328;Diptychandra aurantiaca;4.5;6.047887837
1;2;1329;Pityrocarpa moniliformis;4.5;6.047887837
1;2;1330;Diptychandra aurantiaca;4;3.819718634
1;2;1330;Diptychandra aurantiaca;4;5.411268065
1;2;1330;Diptychandra aurantiaca;4;5.092958179
1;2;1331;Pityrocarpa moniliformis;4;9.230986699
1;2;1331;Pityrocarpa moniliformis;4;9.040000768
1;2;1332;Pityrocarpa moniliformis;3;5.092958179
1;2;1333;Pityrocarpa moniliformis;4.5;7.957747155
1;2;1334;Diptychandra aurantiaca;4.5;8.467042972
1;2;1335;Pityrocarpa moniliformis;5;13.05070533
1;2;1335;Pityrocarpa moniliformis;5;8.75352187
1;2;1336;Pityrocarpa moniliformis;3;6.047887837
1;2;1337;Pityrocarpa moniliformis;5;10.18591636
1;2;1338;Pityrocarpa moniliformis;4;8.085071109
1;2;1339;Pityrocarpa moniliformis;5;8.276057041
1;2;1339;Pityrocarpa moniliformis;5;9.485634608
1;2;1339;Pityrocarpa moniliformis;5;5.474930042
1;2;1340;Pityrocarpa moniliformis;4.5;7.639437268
1;2;1341;Pityrocarpa moniliformis;5;13.68732511
1;2;1341;Pityrocarpa moniliformis;5;7.257465405
1;2;1342;Pityrocarpa moniliformis;3;5.729577951
1;2;1343;Pityrocarpa moniliformis;6;8.912676813
1;2;1343;Pityrocarpa moniliformis;6;7.321127382
1;2;1344;Pityrocarpa moniliformis;5;8.276057041
1;2;1345;Pityrocarpa moniliformis;3;4.13802852
1;2;1346;Pityrocarpa moniliformis;4;7.002817496
1;2;1347;Pityrocarpa moniliformis;4;9.549296586
1;2;1348;Diptychandra aurantiaca;4;7.321127382
1;2;1349;Pityrocarpa moniliformis;3;4.074366543
1;2;1350;Diptychandra aurantiaca;4;6.207042781
1;2;1351;Commiphora leptophloeos;3;8.276057041
1;2;1352;Pityrocarpa moniliformis;6;12.5732405
1;2;1353;Pityrocarpa moniliformis;5;7.957747155
1;2;1354;Pityrocarpa moniliformis;6;9.230986699
1;2;1355;Pityrocarpa moniliformis;4;7.957747155
1;2;1355;Pityrocarpa moniliformis;4;7.639437268
1;2;1356;Pityrocarpa moniliformis;4;6.557183655
1;2;1357;Pityrocarpa moniliformis;5;9.867606472
1;2;1358;Pityrocarpa moniliformis;6;9.230986699
1;2;1358;Pityrocarpa moniliformis;6;11.07718404
1;2;1359;Pityrocarpa moniliformis;6;11.55464887
1;2;1360;Pityrocarpa moniliformis;5;7.639437268
1;2;1361;Pityrocarpa moniliformis;5;10.50422624
1;2;1362;Pityrocarpa moniliformis;4;9.867606472
1;2;1363;morta;4;5.092958179
1;2;1364;Pityrocarpa moniliformis;4;7.321127382
1;2;1365;Pityrocarpa moniliformis;3;5.411268065
1;2;1366;Diptychandra aurantiaca;4;8.594366927
1;2;1367;Pityrocarpa moniliformis;5;6.843662553
1;2;1368;Pityrocarpa moniliformis;5;6.939155519
1;2;1369;Pityrocarpa moniliformis;6.5;9.230986699
1;3;1370;Pityrocarpa moniliformis;4;5.729577951
1;3;1371;morta;3;6.366197724
1;3;1372;morta;3;9.549296586
1;3;1373;Diptychandra aurantiaca;4;6.366197724
1;3;1373;Diptychandra aurantiaca;4;4.297183463
1;3;1373;Diptychandra aurantiaca;4;3.183098862
1;3;1374;Pityrocarpa moniliformis;4;6.238873769
1;3;1375;Diptychandra aurantiaca;3;4.13802852
1;3;1376;morta;4;6.68450761
1;3;1377;Diptychandra aurantiaca;3;3.183098862
1;3;1378;Diptychandra aurantiaca;3;4.774648293
1;3;1378;Diptychandra aurantiaca;3;5.092958179
1;3;1379;Pityrocarpa moniliformis;5;7.957747155
1;3;1380;Diptychandra aurantiaca;3;4.13802852
1;3;1380;Diptychandra aurantiaca;3;4.456338407
1;3;1381;Diptychandra aurantiaca;4;6.047887837
1;3;1382;Diptychandra aurantiaca;4;5.092958179
1;3;1383;Commiphora leptophloeos;5;10.66338119
1;3;1384;Pityrocarpa moniliformis;6;15.15155058
1;3;1385;Pityrocarpa moniliformis;4.5;9.549296586
1;3;1386;Pityrocarpa moniliformis;5;8.085071109
1;3;1387;Pityrocarpa moniliformis;4;7.957747155
1;3;1388;Pityrocarpa moniliformis;4;5.729577951
1;3;1389;Pityrocarpa moniliformis;2;3.819718634
1;3;1390;Pityrocarpa moniliformis;4.5;9.390141642
1;3;1390;Pityrocarpa moniliformis;4.5;5.092958179
1;3;1391;Pityrocarpa moniliformis;4;9.040000768
1;3;1392;Pityrocarpa moniliformis;3;6.366197724
1;3;1393;Anadenanthera colubrina;5;9.549296586
1;3;1394;morta;4;9.549296586
1;3;1395;Diptychandra aurantiaca;4;3.660563691
1;3;1395;Diptychandra aurantiaca;4;3.278591828
1;3;1395;Diptychandra aurantiaca;4;4.456338407
1;3;1396;morta;4;3.819718634
1;3;1397;morta;4;5.729577951
1;3;1398;morta;4;3.183098862
1;3;1399;Pityrocarpa moniliformis;3;5.092958179
1;3;1400;Pityrocarpa moniliformis;4;7.639437268
1;3;1401;Pityrocarpa moniliformis;5;10.59971921
1;3;1402;Pityrocarpa moniliformis;4;7.639437268
1;3;1403;Pityrocarpa moniliformis;4;8.276057041
1;3;1404;morta;3;5.092958179
1;3;1405;Pityrocarpa moniliformis;4;8.276057041
1;3;1406;Pityrocarpa moniliformis;4;7.957747155
1;3;1407;Pityrocarpa moniliformis;3;5.411268065
1;3;1408;Pityrocarpa moniliformis;4;12.09577567
1;3;1409;Diptychandra aurantiaca;4;6.366197724
1;3;1409;Diptychandra aurantiaca;4;7.130141451
1;3;1409;Diptychandra aurantiaca;4;7.352958371
1;3;1410;Pityrocarpa moniliformis;5;14.32394488
1;3;1411;morta;3;3.183098862
1;3;1412;Diptychandra aurantiaca;4;3.183098862
1;3;1412;Diptychandra aurantiaca;4;5.252113122
1;3;1412;Diptychandra aurantiaca;4;3.819718634
1;3;1412;Diptychandra aurantiaca;4;4.13802852
1;3;1412;Diptychandra aurantiaca;4;3.819718634
1;3;1413;Anadenanthera colubrina;3;4.13802852
1;3;1414;Pityrocarpa moniliformis;5;7.257465405
1;3;1414;Pityrocarpa moniliformis;5;7.321127382
1;3;1415;Pityrocarpa moniliformis;6.5;17.95267758
1;3;1415;Pityrocarpa moniliformis;6.5;13.40084621
1;3;1415;Pityrocarpa moniliformis;6.5;14.96056465
1;3;1416;Pityrocarpa moniliformis;4.5;7.639437268
1;3;1417;Pityrocarpa moniliformis;4.5;5.665915974
1;3;1417;Pityrocarpa moniliformis;4.5;6.047887837
1;3;1418;Diptychandra aurantiaca;2;4.13802852
1;3;1419;Pityrocarpa moniliformis;4.5;8.912676813
1;3;1419;Pityrocarpa moniliformis;4.5;7.766761223
1;3;1420;Pityrocarpa moniliformis;3;6.68450761
1;3;1421;Pityrocarpa moniliformis;4.5;7.639437268
1;30;98;Combretum glaucocarpum;3;5.092958179
1;30;99;Dalbergia cearensis;6;6.207042781
1;30;100;Eugenia sp.1;4;4.456338407
1;30;101;Neocalyptrocalyx longifolium;4;8.276057041
1;30;102;Poeppigia procera;6;8.785352859
1;30;103;Zanthoxylum hamadryadicum;4;9.867606472
1;30;104;morta;3;4.13802852
1;30;105;Zanthoxylum hamadryadicum;4;5.729577951
1;30;106;Dalbergia cearensis;7;14.64225476
1;30;107;Piptadenia stipulacea;5;5.888732894
1;30;108;Dalbergia cearensis;3;12.73239545
1;30;108;Dalbergia cearensis;3;6.047887837
1;30;109;morta;4;5.920563883
1;30;110;Lachesiodendron viridiflorum;4;6.366197724
1;30;110;Lachesiodendron viridiflorum;4;5.347606088
1;30;110;Lachesiodendron viridiflorum;4;4.551831372
1;30;110;Lachesiodendron viridiflorum;4;5.729577951
1;30;111;Lachesiodendron viridiflorum;6;10.50422624
1;30;112;Dalbergia cearensis;4;10.66338119
1;30;112;Dalbergia cearensis;4;5.729577951
1;30;113;Dalbergia cearensis;4;7.002817496
1;30;114;morta;4;9.549296586
1;30;115;morta;3;6.366197724
1;30;116;Dalbergia cearensis;4;6.238873769
1;30;117;Lachesiodendron viridiflorum;4;7.002817496
1;30;118;Piptadenia stipulacea;4;5.729577951
1;30;119;Zanthoxylum hamadryadicum;4;7.60760628
1;30;120;Tabaroa caatingicola;4;5.092958179
1;30;121;Lachesiodendron viridiflorum;4;5.411268065
1;30;121;Lachesiodendron viridiflorum;4;10.50422624
1;30;122;Dalbergia cearensis;4;5.729577951
1;30;122;Dalbergia cearensis;3;5.188451145
1;30;123;Lachesiodendron viridiflorum;3;5.729577951
1;30;123;Lachesiodendron viridiflorum;3;3.501408748
1;30;123;Lachesiodendron viridiflorum;3;3.183098862
1;30;124;Zanthoxylum hamadryadicum;4;5.856901906
1;30;125;Lachesiodendron viridiflorum;4;12.12760666
1;30;125;Lachesiodendron viridiflorum;3;4.520000384
1;30;126;Guapira opposita;3;7.321127382
1;30;127;Zanthoxylum hamadryadicum;4;8.021409132
1;30;128;Dalbergia cearensis;5;6.68450761
1;30;129;Piptadenia stipulacea;4.5;6.207042781
1;30;130;morta;4;9.135493733
1;30;131;morta;5;7.703099246
1;30;132;Eugenia sp.1;4.5;6.366197724
1;30;133;Annona leptopetala;4;7.002817496
1;30;134;Lachesiodendron viridiflorum;4;7.002817496
1;30;134;Lachesiodendron viridiflorum;4;7.002817496
1;30;135;Machaerium acutifolium;5;8.594366927
1;30;136;morta;1.5;6.366197724
1;30;137;Machaerium acutifolium;4;7.034648485
1;30;138;Zanthoxylum hamadryadicum;3;6.047887837
1;30;139;morta;6;8.594366927
1;30;140;morta;4;6.366197724
1;30;141;morta;5.5;7.002817496
1;30;142;Lachesiodendron viridiflorum;4;6.270704758
1;30;143;morta;6;9.040000768
1;30;144;morta;4;5.729577951
1;30;145;Dalbergia cearensis;5;5.888732894
1;30;146;Dalbergia cearensis;4;5.952394872
1;30;147;Machaerium acutifolium;5.5;11.4591559
1;30;148;morta;3;5.156620156
1;30;149;Dalbergia cearensis;5;6.175211792
1;30;150;morta;4;5.602253997
1;30;151;Dalbergia cearensis;4;5.76140894
2;4;1422;morta;2;3.087605896
2;4;1423;Senegalia tenuifolia;4;12.73239545
2;4;1424;morta;2;3.183098862
2;4;1425;Senegalia tenuifolia;2;3.087605896
2;4;1426;Luetzelburgia andrade-limae;4;9.549296586
2;4;1427;morta;3;4.456338407
2;4;1428;Luetzelburgia andrade-limae;4;10.3450713
2;4;1429;morta;1.5;3.183098862
2;4;1430;morta;1.5;3.183098862
2;4;1431;Manihot caerulescens;2;3.819718634
2;4;1432;Luetzelburgia andrade-limae;4;4.647324338
2;4;1433;morta;4;3.183098862
2;4;1434;Manihot caerulescens;4;10.37690229
2;4;1435;Anadenanthera colubrina;3;3.660563691
2;4;1436;morta;2;3.501408748
2;4;1437;Astronium urundeuva;3;4.647324338
2;4;1438;Luetzelburgia andrade-limae;4;6.589014644
